genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
NPDC045705	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseoluteus_A	Streptomyces exfoliatus NPDC045705
NPDC045714	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp018619185	Streptomyces sp. NPDC045714
NPDC045749	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	Kitasatospora aureofaciens NPDC045749
NPDC045757	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chrestomyceticus	Streptomyces chrestomyceticus NPDC045757
NPDC045862	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces varsoviensis	Streptomyces varsoviensis NPDC045862
NPDC045972	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lydicus	Streptomyces lydicus NPDC045972
NPDC045974	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces narbonensis	Streptomyces narbonensis NPDC045974
NPDC045990	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	Kitasatospora aureofaciens NPDC045990
NPDC046161	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046161
NPDC046182	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046182
NPDC046193	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces longwoodensis	Streptomyces longwoodensis NPDC046193
NPDC046197	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046197
NPDC046203	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC046203
