genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
GCA_035918115.1_ASM3591811v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cyaneofuscatus	Streptomyces cyaneofuscatus NBC 01749
GCA_035918135.1_ASM3591813v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Actinacidiphila	Actinacidiphila glaucinigra	Actinacidiphila glaucinigra NBC 01746
GCA_035918155.1_ASM3591815v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01591
GCA_035918175.1_ASM3591817v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp029894425	Streptomyces canus NBC_01585
GCA_035918195.1_ASM3591819v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002078175	Streptomyces sp. NBC_01558
GCA_035918215.1_ASM3591821v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026340095	Streptomyces sp. NBC_01474
GCA_035918235.1_ASM3591823v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002803065	Streptomyces sp. NBC_01445
GCA_035919765.1_ASM3591976v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces globisporus	Streptomyces globisporus NBC 01745
GCA_035920325.1_ASM3592032v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01744
GCA_035920465.1_ASM3592046v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp900116325	Streptomyces sp. NBC_01727
GCA_035940175.1_ASM3594017v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces papulosus	Kitasatospora papulosa NBC_01344
GCA_035943135.1_ASM3594313v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces flavotricini	Streptomyces sp. NBC_01343
GCA_035946055.1_ASM3594605v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01341
GCA_035949105.1_ASM3594910v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026339955	Streptomyces sp. NBC_01340
GCA_035950875.1_ASM3595087v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cyaneofuscatus	Streptomyces cyaneofuscatus NBC_01338
GCA_035951655.1_ASM3595165v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces platensis	Streptomyces platensis NBC_01337
GCA_035952475.1_ASM3595247v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces poriferorum	Streptomyces sp. NBC_01336
GCA_035953295.1_ASM3595329v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01335
GCA_035954115.1_ASM3595411v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anulatus	Streptomyces anulatus NBC_01333
GCA_035954955.1_ASM3595495v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces murinus	Streptomyces murinus NBC_01332
GCA_035955795.1_ASM3595579v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus NBC_01331
GCA_035957715.1_ASM3595771v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes NBC_01328
GCA_035959875.1_ASM3595987v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces subrutilus	Streptomyces subrutilus NBC_01325
GCA_035960815.1_ASM3596081v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001905365	Streptomyces sp. NBC_01324
GCA_035961655.1_ASM3596165v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp009865405	Streptomyces sp. NBC_01317
GCA_035962435.1_ASM3596243v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	Streptomyces europaeiscabiei NBC 01735
GCA_035974335.1_ASM3597433v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026340885	Streptomyces sp. NBC_01321
GCA_035974355.1_ASM3597435v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01318
GCA_035974375.1_ASM3597437v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026339735	Streptomyces sp. NBC_01320
GCA_035974395.1_ASM3597439v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01310
GCA_035975855.1_ASM3597585v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01304
GCA_035976515.1_ASM3597651v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp.	Kitasatospora sp. NBC_01302
GCA_035977975.1_ASM3597797v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces celluloflavus	Streptomyces celluloflavus NBC_01299
GCA_035978755.1_ASM3597875v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01298
GCA_035979555.1_ASM3597955v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tubercidicus	Streptomyces tubercidicus NBC_01297
GCA_035980495.1_ASM3598049v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces papulosus	Kitasatospora papulosa NBC_01295
GCA_035982055.1_ASM3598205v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01288
GCA_035983575.1_ASM3598357v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002078175	Streptomyces sp. NBC_01281
GCA_035983595.1_ASM3598359v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces coriariae	Streptomyces sp. NBC_01334
GCA_035984415.1_ASM3598441v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342235	Streptomyces sp. NBC_01296
GCA_035987325.1_ASM3598732v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01244
GCA_035988225.1_ASM3598822v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp003846175	Streptomyces sp. NBC_01243
GCA_035988865.1_ASM3598886v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026340885	Streptomyces sp. NBC_01240
GCA_035989285.1_ASM3598928v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01235
GCA_035989305.1_ASM3598930v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01233
GCA_035989885.1_ASM3598988v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01232
GCA_035991205.1_ASM3599120v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces zaomyceticus	Streptomyces zaomyceticus NBC_01228
GCA_035991645.1_ASM3599164v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp900116325	Streptomyces sp. NBC_01230
GCA_035993425.1_ASM3599342v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp029167645	Streptomyces sp. NBC_01218
GCA_035994185.1_ASM3599418v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01217
GCA_035994945.1_ASM3599494v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01216
GCA_035996785.1_ASM3599678v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01236
